Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
50269;Whitten;IA;42.261478;-93.00738;-6;1;42.261478,-93.00738
27237;Cumnock;NC;35.467567;-79.165314;-5;1;35.467567,-79.165314
65790;Pottersville;MO;36.679277;-92.10602;-6;1;36.679277,-92.10602
15537;Everett;PA;40.003997;-78.36456;-5;1;40.003997,-78.36456
34669;Hudson;FL;28.348507;-82.61937;-5;1;28.348507,-82.61937
19516;Centerport;PA;40.486726;-76.00719;-5;1;40.486726,-76.00719
37721;Corryton;TN;36.141925;-83.8066;-5;1;36.141925,-83.8066
13310;Bouckville;NY;42.88821;-75.5688;-5;1;42.88821,-75.5688
38308;Jackson;TN;35.612405;-88.841225;-6;1;35.612405,-88.841225
22428;Bowling Green;VA;38.014536;-77.355902;-5;1;38.014536,-77.355902
74034;Hallett;OK;36.232452;-96.56882;-6;1;36.232452,-96.56882
23040;Cumberland;VA;37.522085;-78.2553;-5;1;37.522085,-78.2553
23345;Davis Wharf;VA;37.738248;-75.701449;-5;1;37.738248,-75.701449
80223;Denver;CO;39.699156;-104.99999;-7;1;39.699156,-104.99999
30610;Athens;GA;33.944339;-83.38908;-5;1;33.944339,-83.38908
99251;Spokane;WA;47.653568;-117.431742;-8;1;47.653568,-117.431742
88545;El Paso;TX;31.694842;-106.299987;-7;1;31.694842,-106.299987
29372;Pacolet;SC;34.900682;-81.74846;-5;1;34.900682,-81.74846
90081;Los Angeles;CA;33.786594;-118.298662;-8;1;33.786594,-118.298662
70767;Port Allen;LA;30.473536;-91.26324;-6;1;30.473536,-91.26324
06040;Manchester;CT;41.778888;-72.52384;-5;1;41.778888,-72.52384
95125;San Jose;CA;37.295092;-121.89649;-8;1;37.295092,-121.89649
06705;Waterbury;CT;41.54903;-72.99861;-5;1;41.54903,-72.99861
98247;Everson;WA;48.900256;-122.32095;-8;1;48.900256,-122.32095
83735;Boise;ID;43.459855;-116.243984;-7;1;43.459855,-116.243984
32040;Glen Saint Mary;FL;30.272356;-82.21351;-5;1;30.272356,-82.21351
40145;Hudson;KY;37.652706;-86.3173;-6;1;37.652706,-86.3173
33755;Clearwater;FL;27.979114;-82.78166;-5;1;27.979114,-82.78166
62530;Divernon;IL;39.568077;-89.65467;-6;1;39.568077,-89.65467
23822;Ammon;VA;37.072361;-77.647495;-5;1;37.072361,-77.647495
63118;Saint Louis;MO;38.594901;-90.2278;-6;1;38.594901,-90.2278
54746;Humbird;WI;44.550251;-90.89542;-6;1;44.550251,-90.89542
21903;Perryville;MD;39.571003;-76.05077;-5;1;39.571003,-76.05077
55706;Babbitt;MN;47.688083;-91.91856;-6;1;47.688083,-91.91856
17726;Castanea;PA;41.122741;-77.431745;-5;1;41.122741,-77.431745
56464;Menahga;MN;46.770167;-95.09659;-6;1;46.770167,-95.09659
18916;Danboro;PA;40.328645;-75.10278;-5;1;40.328645,-75.10278
14812;Beaver Dams;NY;42.286649;-76.9766;-5;1;42.286649,-76.9766
46780;Pleasant Mills;IN;40.74532;-84.937926;-5;0;40.74532,-84.937926
93953;Pebble Beach;CA;36.59081;-121.9461;-8;1;36.59081,-121.9461
48840;Haslett;MI;42.760217;-84.39027;-5;1;42.760217,-84.39027
95873;Sacramento;CA;38.377411;-121.444429;-8;1;38.377411,-121.444429
68660;Saint Edward;NE;41.574309;-97.86898;-6;1;41.574309,-97.86898
98004;Bellevue;WA;47.618371;-122.20308;-8;1;47.618371,-122.20308
59076;Sanders;MT;46.2644;-107.07438;-7;1;46.2644,-107.07438
98125;Seattle;WA;47.716648;-122.30308;-8;1;47.716648,-122.30308
63877;Steele;MO;36.079378;-89.84896;-6;1;36.079378,-89.84896
72734;Gentry;AR;36.269478;-94.46137;-6;1;36.269478,-94.46137
92037;La Jolla;CA;32.838761;-117.26159;-8;1;32.838761,-117.26159
70376;Modeste;LA;30.204707;-90.869481;-6;1;30.204707,-90.869481
92863;Orange;CA;33.640302;-117.769442;-8;1;33.640302,-117.769442
70836;Baton Rouge;LA;30.388292;-91.08631;-6;1;30.388292,-91.08631
73024;Corn;OK;35.370775;-98.80897;-6;1;35.370775,-98.80897
79058;Masterson;TX;35.837775;-101.892846;-6;1;35.837775,-101.892846
73573;Waurika;OK;34.16127;-97.99784;-6;1;34.16127,-97.99784
01330;Ashfield;MA;42.521131;-72.81116;-5;1;42.521131,-72.81116
75035;Frisco;TX;33.130086;-96.78177;-6;1;33.130086,-96.78177
98274;Mount Vernon;WA;48.371026;-122.24432;-8;1;48.371026,-122.24432
66621;Topeka;KS;39.042939;-95.769657;-6;1;39.042939,-95.769657
95363;Patterson;CA;37.477477;-121.14555;-8;1;37.477477,-121.14555
64111;Kansas City;MO;39.056505;-94.59439;-6;1;39.056505,-94.59439
44185;Cleveland;OH;41.685744;-81.672797;-5;1;41.685744,-81.672797
77071;Houston;TX;29.647637;-95.51718;-6;1;29.647637,-95.51718
46063;Orestes;IN;40.27046;-85.72871;-5;0;40.27046,-85.72871
34869;Tarpon Springs;FL;28.126307;-82.766173;-5;1;28.126307,-82.766173
35294;Birmingham;AL;33.544622;-86.929208;-6;1;33.544622,-86.929208
62943;Grantsburg;IL;37.342538;-88.73381;-6;1;37.342538,-88.73381
49232;Camden;MI;41.731009;-84.65993;-5;1;41.731009,-84.65993
17888;Wilburton;PA;40.818443;-76.37737;-5;1;40.818443,-76.37737
41760;Scuddy;KY;37.205562;-83.08055;-5;1;37.205562,-83.08055
20374;Washington;DC;38.855522;-77.002197;-5;1;38.855522,-77.002197
72053;College Station;AR;34.708292;-92.22764;-6;1;34.708292,-92.22764
61102;Rockford;IL;42.25517;-89.1297;-6;1;42.25517,-89.1297
05544;Andover;MA;42.647191;-71.184202;-5;1;42.647191,-71.184202
44096;Willoughby;OH;41.910676;-81.249027;-5;1;41.910676,-81.249027
45103;Batavia;OH;39.082894;-84.15319;-5;1;39.082894,-84.15319
53706;Madison;WI;43.074296;-89.40774;-6;1;43.074296,-89.40774
36689;Mobile;AL;30.658865;-88.177975;-6;1;30.658865,-88.177975
37803;Maryville;TN;35.693358;-83.98412;-5;1;35.693358,-83.98412
38119;Memphis;TN;35.082936;-89.84892;-6;1;35.082936,-89.84892
38253;Rives;TN;36.307957;-89.0377;-6;1;36.307957,-89.0377
56557;Mahnomen;MN;47.330624;-95.87672;-6;1;47.330624,-95.87672
58048;Hunter;ND;47.198818;-97.21831;-6;1;47.198818,-97.21831
58368;Rugby;ND;48.273263;-100.00991;-6;1;48.273263,-100.00991
39183;Vicksburg;MS;32.386653;-90.84485;-6;1;32.386653,-90.84485
41517;Burdine;KY;37.184477;-82.61109;-5;1;37.184477,-82.61109
55772;Nett Lake;MN;48.081686;-93.083438;-6;1;48.081686,-93.083438
54915;Appleton;WI;44.244753;-88.37783;-6;1;44.244753,-88.37783
28520;Cedar Island;NC;34.984608;-76.1988;-5;1;34.984608,-76.1988
30055;Mansfield;GA;33.504952;-83.74735;-5;1;33.504952,-83.74735
30320;Atlanta;GA;33.656824;-84.423648;-5;1;33.656824,-84.423648
30553;Lavonia;GA;34.450501;-83.09448;-5;1;34.450501,-83.09448
32148;Interlachen;FL;29.640791;-81.88648;-5;1;29.640791,-81.88648
13562;Hermon;NY;44.465307;-75.230195;-5;1;44.465307,-75.230195
15108;Coraopolis;PA;40.500665;-80.18464;-5;1;40.500665,-80.18464
32241;Jacksonville;FL;30.34494;-81.683107;-5;1;30.34494,-81.683107
32792;Winter Park;FL;28.607077;-81.30606;-5;1;28.607077,-81.30606
33179;Miami;FL;25.95872;-80.17941;-5;1;25.95872,-80.17941
33196;Miami;FL;25.650232;-80.45925;-5;1;25.650232,-80.45925
22842;Mount Jackson;VA;38.772409;-78.69461;-5;1;38.772409,-78.69461
23607;Newport News;VA;36.987151;-76.4195;-5;1;36.987151,-76.4195
24651;Tazewell;VA;37.113004;-81.50326;-5;1;37.113004,-81.50326
24852;Keystone;WV;37.417857;-81.44874;-5;1;37.417857,-81.44874
25511;Dunlow;WV;38.011587;-82.38072;-5;1;38.011587,-82.38072
01982;South Hamilton;MA;42.616643;-70.86513;-5;1;42.616643,-70.86513
02103;Boston;MA;42.338947;-70.919635;-5;1;42.338947,-70.919635
02184;Braintree;MA;42.209555;-70.99968;-5;1;42.209555,-70.99968
10702;Yonkers;NY;41.119008;-73.732996;-5;1;41.119008,-73.732996
11729;Deer Park;NY;40.760698;-73.33007;-5;1;40.760698,-73.33007
01373;South Deerfield;MA;42.472734;-72.62452;-5;1;42.472734,-72.62452
93516;Boron;CA;35.030694;-117.67264;-8;1;35.030694,-117.67264
53962;Union Center;WI;43.685137;-90.26578;-6;1;43.685137,-90.26578
54703;Eau Claire;WI;44.82961;-91.50521;-6;1;44.82961,-91.50521
14305;Niagara Falls;NY;43.115355;-79.03769;-5;1;43.115355,-79.03769
15689;United;PA;40.219344;-79.49244;-5;1;40.219344,-79.49244
17331;Hanover;PA;39.795301;-76.97727;-5;1;39.795301,-76.97727
30360;Atlanta;GA;33.934536;-84.27215;-5;1;33.934536,-84.27215
30477;Wadley;GA;32.872098;-82.4023;-5;1;32.872098,-82.4023
32303;Tallahassee;FL;30.486061;-84.31528;-5;1;30.486061,-84.31528
33406;West Palm Beach;FL;26.659294;-80.09118;-5;1;26.659294,-80.09118
20778;West River;MD;38.832265;-76.55604;-5;1;38.832265,-76.55604
21234;Parkville;MD;39.385006;-76.54177;-5;1;39.385006,-76.54177
22183;Vienna;VA;38.831813;-77.288755;-5;1;38.831813,-77.288755
26294;Valley Head;WV;38.52061;-80.03629;-5;1;38.52061,-80.03629
28972;Hendersonville;NC;35.299726;-82.449228;-5;1;35.299726,-82.449228
29206;Columbia;SC;34.037557;-80.96024;-5;1;34.037557,-80.96024
30036;Decatur;GA;33.891251;-84.07456;-5;1;33.891251,-84.07456
18761;Wilkes Barre;PA;41.272248;-75.880146;-5;1;41.272248,-75.880146
35570;Hamilton;AL;34.149717;-88.00384;-6;1;34.149717,-88.00384
28144;Salisbury;NC;35.679639;-80.46645;-5;1;35.679639,-80.46645
28320;Bladenboro;NC;34.552642;-78.78102;-5;1;34.552642,-78.78102
11691;Far Rockaway;NY;40.60002;-73.75962;-5;1;40.60002,-73.75962
12981;Saranac;NY;44.617642000000004;-73.81196;-5;1;44.617642,-73.81196
05069;South Ryegate;VT;44.168111;-72.14245;-5;1;44.168111,-72.14245
06420;Salem;CT;41.485469;-72.25445;-5;1;41.485469,-72.25445
08022;Columbus;NJ;40.079952;-74.70684;-5;1;40.079952,-74.70684
42450;Providence;KY;37.396445;-87.76428;-6;1;37.396445,-87.76428
43098;Hebron;OH;40.095148;-82.482659;-5;1;40.095148,-82.482659
43440;Lakeside Marblehead;OH;41.533186;-82.75881;-5;1;41.533186,-82.75881
44848;Nankin;OH;40.920617;-82.281695;-5;1;40.920617,-82.281695
45271;Cincinnati;OH;39.166759;-84.53822;-5;1;39.166759,-84.53822
45694;Wheelersburg;OH;38.729816;-82.8004;-5;1;38.729816,-82.8004
38379;Stantonville;TN;35.159237;-88.41878;-6;1;35.159237,-88.41878
38580;Rickman;TN;36.270655;-85.32525;-6;1;36.270655,-85.32525
34274;Nokomis;FL;27.144031;-82.464468;-5;1;27.144031,-82.464468
34677;Oldsmar;FL;28.042799;-82.67737;-5;1;28.042799,-82.67737
39758;Sturgis;MS;33.344664;-89.036193;-6;1;33.344664,-89.036193
87931;Caballo;NM;32.969955;-107.36322;-7;1;32.969955,-107.36322
90701;Artesia;CA;33.867215;-118.08062;-8;1;33.867215,-118.08062
91214;La Crescenta;CA;34.232003;-118.24753;-8;1;34.232003,-118.24753
91990;Potrero;CA;33.016928;-116.846046;-8;1;33.016928,-116.846046
54919;Appleton;WI;44.416326;-88.464873;-6;1;44.416326,-88.464873
55345;Minnetonka;MN;44.915413;-93.48443;-6;1;44.915413,-93.48443
58544;Hazelton;ND;46.488312;-100.29283;-6;1;46.488312,-100.29283
61523;Chillicothe;IL;40.914377;-89.50654;-6;1;40.914377,-89.50654
62076;Ohlman;IL;39.261791;-89.421584;-6;1;39.261791,-89.421584
65712;Mount Vernon;MO;37.101742;-93.80738;-6;1;37.101742,-93.80738
67753;Rexford;KS;39.40544;-100.74875;-6;1;39.40544,-100.74875
74630;Billings;OK;36.52791;-97.43304;-6;1;36.52791,-97.43304
76682;Riesel;TX;31.475763;-96.9179;-6;1;31.475763,-96.9179
57007;Brookings;SD;44.369696;-96.790705;-6;1;44.369696,-96.790705
57671;McIntosh;SD;45.924062;-101.354116;-7;1;45.924062,-101.354116
58008;Barney;ND;46.304176;-96.99819;-6;1;46.304176,-96.99819
58206;Grand Forks;ND;47.933481;-97.394446;-6;1;47.933481,-97.394446
72167;Traskwood;AR;34.433276;-92.66087;-6;1;34.433276,-92.66087
72856;Pelsor;AR;35.794196;-93.04185;-6;1;35.794196,-93.04185
70055;Metairie;LA;29.677893;-90.0901;-6;1;29.677893,-90.0901
70640;Fenton;LA;30.366126;-92.91837;-6;1;30.366126,-92.91837
85346;Quartzsite;AZ;33.654343;-114.23325;-7;0;33.654343,-114.23325
98103;Seattle;WA;47.671346;-122.34166;-8;1;47.671346,-122.34166
99140;Keller;WA;48.080515;-118.69498;-8;1;48.080515,-118.69498
96802;Honolulu;HI;24.859832;-168.021815;-10;0;24.859832,-168.021815
97076;Beaverton;OR;45.548616;-123.114725;-8;1;45.548616,-123.114725
80809;Cascade;CO;38.911701;-104.98731;-7;1;38.911701,-104.98731
82523;Pavillion;WY;43.312211;-108.56038;-7;1;43.312211,-108.56038
89423;Minden;NV;39.009564;-119.75557;-8;1;39.009564,-119.75557
91354;Valencia;CA;34.445313;-118.55252;-8;1;34.445313,-118.55252
92325;Crestline;CA;34.242567;-117.28654;-8;1;34.242567,-117.28654
29129;Ridge Spring;SC;33.804368;-81.65577;-5;1;33.804368,-81.65577
30230;Hogansville;GA;33.173516;-84.91737;-5;1;33.173516,-84.91737
36726;Camden;AL;32.008444;-87.25911;-6;1;32.008444,-87.25911
37311;Cleveland;TN;35.146362;-84.88723;-5;1;35.146362,-84.88723
38240;Obion;TN;36.253678;-89.25364;-6;1;36.253678,-89.25364
38303;Jackson;TN;35.612405;-88.841225;-6;1;35.612405,-88.841225
38641;Lake Cormorant;MS;34.904881;-90.19353;-6;1;34.904881,-90.19353
38659;Potts Camp;MS;34.643828;-89.33776;-6;1;34.643828,-89.33776
44115;Cleveland;OH;41.493501;-81.67125;-5;1;41.493501,-81.67125
44125;Cleveland;OH;41.414403;-81.60793;-5;1;41.414403,-81.60793
45011;Hamilton;OH;39.404856;-84.52271;-5;1;39.404856,-84.52271
47453;Owensburg;IN;38.924067;-86.74308;-5;0;38.924067,-86.74308
34655;New Port Richey;FL;28.209833;-82.66973;-5;1;28.209833,-82.66973
98830;Mansfield;WA;47.880616;-119.54481;-8;1;47.880616,-119.54481
99167;Rice;WA;48.406582;-118.11029;-8;1;48.406582,-118.11029
84313;Grouse Creek;UT;41.307779;-113.56365;-7;1;41.307779,-113.56365
84515;Cisco;UT;38.999877;-109.615008;-7;1;38.999877,-109.615008
80123;Littleton;CO;39.616114;-105.07393;-7;1;39.616114,-105.07393
80217;Denver;CO;39.738752;-104.408349;-7;1;39.738752,-104.408349
80827;Lake George;CO;39.031989;-105.46846;-7;1;39.031989,-105.46846
82329;Medicine Bow;WY;42.196315;-106.32113;-7;1;42.196315,-106.32113
97423;Coquille;OR;43.187219;-124.16396;-8;1;43.187219,-124.16396
01029;East Otis;MA;42.175896;-73.04204;-5;1;42.175896,-73.04204
01227;Dalton;MA;42.516145;-73.092852;-5;1;42.516145,-73.092852
01704;Framingham;MA;42.446396;-71.459405;-5;1;42.446396,-71.459405
40027;Harrods Creek;KY;38.329718;-85.63299;-5;1;38.329718,-85.63299
40863;Pathfork;KY;36.753043;-83.44991;-5;1;36.753043,-83.44991
56441;Crosby;MN;46.528094;-93.98055;-6;1;46.528094,-93.98055
56639;Effie;MN;47.852874;-93.50758;-6;1;47.852874,-93.50758
54534;Hurley;WI;46.40553;-90.21811;-6;1;46.40553,-90.21811
55366;New Auburn;MN;44.673454;-94.229311;-6;1;44.673454,-94.229311
45005;Franklin;OH;39.550241;-84.3087;-5;1;39.550241,-84.3087
45867;Mount Blanchard;OH;40.903089;-83.54591;-5;1;40.903089,-83.54591
46356;Lowell;IN;41.269789;-87.41353;-6;1;41.269789,-87.41353
46935;Grass Creek;IN;41.040988;-86.206925;-5;0;41.040988,-86.206925
49836;Germfask;MI;46.180416;-85.90176;-5;1;46.180416,-85.90176
51558;Moorhead;IA;41.911376;-95.86092;-6;1;41.911376,-95.86092
52002;Dubuque;IA;42.50963;-90.75329;-6;1;42.50963,-90.75329
52408;Cedar Rapids;IA;42.079415;-91.599215;-6;1;42.079415,-91.599215
41005;Burlington;KY;39.020466;-84.74158;-5;1;39.020466,-84.74158
59480;Stockett;MT;47.188396;-111.16349;-7;1;47.188396,-111.16349
61564;South Pekin;IL;40.49271;-89.65194;-6;1;40.49271,-89.65194
30612;Athens;GA;33.944339;-83.38908;-5;1;33.944339,-83.38908
31778;Pavo;GA;30.966781;-83.72075;-5;1;30.966781,-83.72075
33647;Tampa;FL;28.127973;-82.36123;-5;1;28.127973,-82.36123
17002;Allensville;PA;40.510176;-77.83124;-5;1;40.510176,-77.83124
14005;Alexander;NY;42.906765;-78.24581;-5;1;42.906765,-78.24581
24185;Woolwine;VA;36.806528;-80.26895;-5;1;36.806528,-80.26895
24326;Elk Creek;VA;36.729236;-81.2001;-5;1;36.729236,-81.2001
34636;Istachatta;FL;28.65503;-82.267706;-5;1;28.65503,-82.267706
17763;Ralston;PA;41.505366;-76.95432;-5;1;41.505366,-76.95432
95815;Sacramento;CA;38.611854;-121.44553;-8;1;38.611854,-121.44553
99357;Royal City;WA;46.922079;-119.67175;-8;1;46.922079,-119.67175
94062;Redwood City;CA;37.444879;-122.26253;-8;1;37.444879,-122.26253
15471;German;PA;39.9783;-79.856751;-5;1;39.9783,-79.856751
16801;State College;PA;40.792011;-77.84993;-5;1;40.792011,-77.84993
17067;Myerstown;PA;40.389502;-76.3147;-5;1;40.389502,-76.3147
18239;Milnesville;PA;40.989783;-75.98173;-5;1;40.989783,-75.98173
35460;Epes;AL;32.716468;-88.15261;-6;1;32.716468,-88.15261
35584;Sipsey;AL;33.823683;-87.08699;-6;1;33.823683,-87.08699
24157;Salem;VA;37.288384;-80.067062;-5;1;37.288384,-80.067062
26815;Sugar Grove;WV;38.482224;-79.33161;-5;1;38.482224,-79.33161
27613;Raleigh;NC;35.899208;-78.71161;-5;1;35.899208,-78.71161
27675;Raleigh;NC;35.797692;-78.625265;-5;1;35.797692,-78.625265
06349;Groton;CT;41.39973;-72.090357;-5;1;41.39973,-72.090357
08879;South Amboy;NJ;40.469606;-74.27669;-5;1;40.469606,-74.27669
00925;San Juan;PR;18.400006;-66.05028;-4;0;18.400006,-66.05028
01580;Westborough;MA;42.364807;-71.896868;-5;1;42.364807,-71.896868
70046;Davant;LA;29.618290000000002;-89.872599;-6;1;29.61829,-89.872599
72685;Western Grove;AR;36.062264;-92.96277;-6;1;36.062264,-92.96277
73109;Oklahoma City;OK;35.43366;-97.52496;-6;1;35.43366,-97.52496
73450;Milburn;OK;34.273995;-96.54837;-6;1;34.273995,-96.54837
49304;Baldwin;MI;43.895264;-85.88157;-5;1;43.895264,-85.88157
80006;Arvada;CO;39.522014;-105.223945;-7;1;39.522014,-105.223945
90302;Inglewood;CA;33.975263;-118.35558;-8;1;33.975263,-118.35558
97103;Astoria;OR;46.155007;-123.7417;-8;1;46.155007,-123.7417
75353;Dallas;TX;32.767268;-96.777626;-6;1;32.767268,-96.777626
76123;Fort Worth;TX;32.623807;-97.37548;-6;1;32.623807,-97.37548
83616;Eagle;ID;43.705551;-116.36346;-7;1;43.705551,-116.36346
85007;Phoenix;AZ;33.449995;-112.09024;-7;0;33.449995,-112.09024
38630;Farrell;MS;34.22795;-90.63213;-6;1;34.22795,-90.63213
38858;Nettleton;MS;34.082553;-88.58797;-6;1;34.082553,-88.58797
40066;Shelbyville;KY;38.197268;-85.212156;-5;1;38.197268,-85.212156
46251;Indianapolis;IN;39.779492;-86.132837;-5;0;39.779492,-86.132837
46401;Gary;IN;41.590686;-87.319937;-6;1;41.590686,-87.319937
65329;Florence;MO;38.609313;-92.97655;-6;1;38.609313,-92.97655
66079;Rantoul;KS;38.542788;-95.1232;-6;1;38.542788,-95.1232
66440;Hoyt;KS;39.254902;-95.69171;-6;1;39.254902,-95.69171
76906;San Angelo;TX;31.372754;-100.495114;-6;1;31.372754,-100.495114
77999;Texas City;TX;29.495537;-94.961797;-6;1;29.495537,-94.961797
80721;Amherst;CO;40.681557;-102.16663;-7;1;40.681557,-102.16663
83839;Kingston;ID;47.566703;-116.20774;-8;1;47.566703,-116.20774
59525;Gildford;MT;48.733088;-110.32495;-7;1;48.733088,-110.32495
61234;Annawan;IL;41.412944;-89.92236;-6;1;41.412944,-89.92236
61739;Fairbury;IL;40.741158;-88.51546;-6;1;40.741158,-88.51546
61815;Bondville;IL;40.112616;-88.3708;-6;1;40.112616,-88.3708
56545;Gary;MN;47.363986;-96.2396;-6;1;47.363986,-96.2396
79643;Ozona;TX;30.711061;-101.215979;-6;1;30.711061,-101.215979
62854;Kinmundy;IL;38.768451999999996;-88.82814;-6;1;38.768452,-88.82814
64136;Kansas City;MO;39.01543;-94.39967;-6;1;39.01543,-94.39967
70053;Gretna;LA;29.915354999999998;-90.05335;-6;1;29.915355,-90.05335
25183;Sharples;WV;37.909119;-81.83666;-5;1;37.909119,-81.83666
14056;East Pembroke;NY;42.991173;-78.312171;-5;1;42.991173,-78.312171
14743;Hinsdale;NY;42.203691;-78.407;-5;1;42.203691,-78.407
32098;Palm Valley;FL;30.164918;-81.378181;-5;1;30.164918,-81.378181
32595;Pensacola;FL;30.61428;-87.275772;-6;1;30.61428,-87.275772
33438;Canal Point;FL;26.900359;-80.60368;-5;1;26.900359,-80.60368
21036;Dayton;MD;39.24367;-76.99782;-5;1;39.24367,-76.99782
21237;Rosedale;MD;39.33224;-76.50365;-5;1;39.33224,-76.50365
21538;Kitzmiller;MD;39.395674;-79.20096;-5;1;39.395674,-79.20096
21684;Ridgely;MD;38.88927;-75.861191;-5;1;38.88927,-75.861191
23032;Church View;VA;37.674655;-76.68104;-5;1;37.674655,-76.68104
19040;Hatboro;PA;40.178076;-75.1067;-5;1;40.178076,-75.1067
13022;Auburn;NY;43.163364;-76.509567;-5;1;43.163364,-76.509567
53018;Delafield;WI;43.05348;-88.39844;-6;1;43.05348,-88.39844
54889;Turtle Lake;WI;45.407855;-92.15619;-6;1;45.407855,-92.15619
55991;Zumbro Falls;MN;44.24431;-92.41336;-6;1;44.24431,-92.41336
36858;Hatchechubbee;AL;32.297792;-85.31205;-6;1;32.297792,-85.31205
37868;Pigeon Forge;TN;35.880902;-83.556134;-5;1;35.880902,-83.556134
08219;Green Creek;NJ;39.056521;-74.816619;-5;1;39.056521,-74.816619
17825;Excelsior;PA;40.769908;-76.49366;-5;1;40.769908,-76.49366
75407;Princeton;TX;33.14572;-96.49664;-6;1;33.14572,-96.49664
75638;Daingerfield;TX;33.02583;-94.72481;-6;1;33.02583,-94.72481
